dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
gift_cards,popularity,none,200,126,10,8.457374830852504e-05,0.3120139000020572,0.0,0.0,0.0104166666666666,0.3189505999980611,0.0033967391304347,0.308868899999652,0.0,0.0,8.457374830852504e-05,6.906702898550724e-05,0.0582075728513028,1.0,0.12,1.5,0.1224489795918367,0.9208979591836736,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,
gift_cards,popularity,quota_mmr,200,126,10,8.466540232999188e-05,0.3065362999986973,0.0004936808846761,0.3118456000011065,0.0104166666666666,0.3219065999946906,0.0029481132075471,0.3035075000007055,0.359375,0.3588945000010426,0.0005783462870061,0.001863698899371,0.0468098256178947,0.6509057566485221,0.085,0.2999999999999999,0.3333333333333333,0.8945306122448979,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,0.0101287786010874
gift_cards,itemknn,none,200,126,10,0.0022163120567375,0.3001883000033558,0.0,0.0,0.0111607142857142,0.3178382000041893,0.0026709401709401,0.3084371000004466,0.0,0.0,0.0022163120567375,6.915827228327228e-05,0.1343100368394084,1.0,0.3,1.3575,0.5034013605442177,0.8130612244897959,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,
gift_cards,itemknn,quota_mmr,200,126,10,0.0020973154362416,0.3045037999982014,0.0005081300813008,0.3100362999975914,0.0107758620689655,0.3169065999973099,0.0024606299212598,0.3093630999937886,0.375,0.3847081999992952,0.0026054455175424,0.0019411824599511,0.099857817059613,0.7807856838600853,0.205,0.284,0.9387755102040816,0.5254897959183673,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,0.0163992776852184
gift_cards,als,none,200,126,10,0.65625,0.6524306999999681,0.0,0.0,0.0111607142857142,0.3268518000040785,0.002561475409836,0.3080688999980339,0.0,0.0,0.65625,6.861094847775175e-05,0.0531382924907155,1.0,0.13,0.479,0.979591836734694,0.2424557823129251,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,
gift_cards,als,quota_mmr,200,126,10,0.640625,0.6341128999993089,0.0005332764505119,0.3065610999983619,0.011574074074074,0.3186863000009907,0.002540650406504,0.307069100002991,0.4375,0.4405430999977398,0.6411582764505119,0.0022580736224028,0.0482778408366314,0.9842586195254236,0.115,0.2555,0.979591836734694,0.2461088435374149,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,0.4,0.0033743268938807
software,popularity,none,200,200,10,0.0001056100033795,0.3023161000019172,0.0,0.0,0.0107758620689655,0.3198271000001114,0.0061274509803921,0.3092455000005429,0.0,0.0,0.0001056100033795,8.451656524678837e-05,0.0035115884201013,1.0,0.01,1.5,0.0206327372764786,0.9852874828060524,0.29,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,0.4,
software,popularity,quota_mmr,200,200,10,0.0001002888318356,0.3064947000020765,0.0091911764705882,0.31395799999882,0.0107758620689655,0.3143803999992087,0.0065104166666666,0.3133962000065367,0.484375,0.4825868999978411,0.0092914653024239,0.0025083063936781,0.0019342640361727,0.8890298858628182,0.005,1.0,0.030261348005502,0.9840811554332874,0.29,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,0.4,0.0815823369354885
software,itemknn,none,200,200,10,0.0223214285714285,0.3183272999958717,0.0,0.0,0.0125,0.3081672999978764,0.0071022727272727,0.3129423999998835,0.0,0.0,0.0223214285714285,9.801136363636364e-05,0.095418235577768,1.0,0.16,0.9405,0.5708390646492435,0.7336946354883082,0.54,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,0.4,
software,itemknn,quota_mmr,200,200,10,0.0234375,0.3229004999957396,0.0091911764705882,0.3111787999951048,0.0120192307692307,0.3128419999993639,0.0071022727272727,0.3267112000030465,0.640625,0.646382300001278,0.0326286764705882,0.0032987325174825,0.0949012878512257,0.908016244332094,0.155,0.2654999999999999,0.7785419532324622,0.575353507565337,0.54,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,0.4,0.0056456153803386
