user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
176,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
177,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
178,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
186,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
187,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
188,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
191,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
193,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
196,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
198,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
202,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
203,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
205,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
208,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
210,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
214,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
215,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
216,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
217,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
218,0.3868528072345416,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
219,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
222,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
223,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
224,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
226,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
233,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
234,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
237,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
238,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
241,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
242,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
244,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
245,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
249,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
250,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
251,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
254,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
258,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
260,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
262,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
263,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
266,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
274,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
280,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
281,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
285,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
