family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,3,0.0398160089153419,0.08,1.204,0.0001620850622406,0.0001025132275132,0.033567370473188314,0.10230960642611585,0.0001620850622406,0.0,0.005787037037037,0.0044642857142857,0.0
als,none,3,0.0638315481905817,0.14,0.8440000000000001,5.625,0.0001382943302891,0.11944444444444445,0.07832190205742437,5.625,0.0,0.0095486111111111,0.0042808219178082,0.0
itemknn,none,3,0.0468427071046376,0.09,1.138,0.2109375,0.0001805124223602,0.07407407407407407,0.03725026152871882,0.2109375,0.0,0.0135869565217391,0.0041666666666666,0.0
popularity,greedy_topk,3,0.0398160089153419,0.08,1.204,0.0900173611111111,0.0002680788055043,0.0434457501313007,0.17936570467570478,0.0001658704883227,0.08984375,0.0058962264150943,0.0045289855072463,0.0164473684210526
als,greedy_topk,3,0.0638315481905817,0.14,0.8440000000000001,6.0546875,0.0003388798701298,0.07483870967741936,0.1027415756721228,5.96875,0.09765625,0.0074404761904761,0.0044642857142857,0.0208333333333333
itemknn,greedy_topk,3,0.0468427071046376,0.09,1.138,0.296875,0.0003399621212121,0.15350877192982462,0.14530989572447042,0.203125,0.09375,0.0148809523809523,0.0041666666666666,0.015625
popularity,quota_mmr,3,0.0506780227876668,0.11,0.263,0.0900253304764671,0.001199802036199,0.15977325181913027,0.405056823853976,0.0001815804764671,0.08984375,0.0060096153846153,0.0045955882352941,0.109375
itemknn,quota_mmr,3,0.0522762573377905,0.1,0.245,0.2890625,0.0013284632034632,0.05405405405405406,0.14945242433988107,0.1953125,0.08984375,0.0142045454545454,0.0040584415584415,0.1145833333333333
als,quota_mmr,3,0.0591161935804822,0.11,0.2549999999999999,6.15625,0.0016598731884057,0.1666666666666667,0.23563264915126983,6.0625,0.09375,0.0208333333333333,0.0046641791044776,0.1458333333333333
itemknn,mmr,3,0.0629389997978768,0.14,1.0179999999999998,0.296875,0.0019761473429951,0.039473684210526314,0.03670109192003713,0.203125,0.09375,0.014266304347826,0.0041666666666666,0.1796875
popularity,mmr,3,0.0464352840014147,0.1,0.968,0.0900164019337016,0.0019802885943109,0.13037006797947912,0.2074051074203267,0.0001726519337016,0.08984375,0.0061274509803921,0.0044014084507042,0.1875
als,mmr,3,0.0734674644354182,0.13,0.768,6.0234375,0.0020329704704704,0.09727626459143969,0.12531329346439174,5.9375,0.08984375,0.0084459459459459,0.0042229729729729,0.1875
popularity,qubo_tabu,3,0.0452234320185648,0.1,0.1999999999999999,0.0900137717627856,0.2432347470238095,0.08680575472001527,0.001934486583577376,0.0001596016343207,0.08984375,0.0060096153846153,0.0044014084507042,24.3125
als,qubo_tabu,3,0.0634348465959918,0.1,0.1999999999999999,5.77734375,0.2437517204704704,0.23551949515438353,0.011668532313573888,5.6875,0.09765625,0.011574074074074,0.0042808219178082,24.359375
itemknn,qubo_tabu,3,0.065013553195951,0.14,0.1999999999999999,0.29296875,0.2445582180500658,0.12,0.010360407817467854,0.203125,0.09375,0.0135869565217391,0.0047348484848484,24.4375
itemknn,qubo_feasible,3,0.049991982098056,0.12,0.1999999999999999,0.29296875,0.3114155844155844,0.04,0.39041396720496435,0.203125,0.08984375,0.0142045454545454,0.0041666666666666,31.125
als,qubo_feasible,3,0.0657505068152487,0.1,0.1999999999999999,5.734375,0.3187748015873016,0.2895095367847411,0.18805544816816636,5.640625,0.09375,0.0111607142857142,0.0042808219178082,31.859375
popularity,qubo_feasible,3,0.0409417588848189,0.07,0.1999999999999999,0.0978233622994652,0.3280829287360105,0.08021514345046388,0.17818731204229157,0.0001671122994652,0.09765625,0.0063775510204081,0.0050403225806451,32.796875
