retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+greedy_topk,cost.popularity+mmr,cost.popularity+quota_mmr,cost.popularity+qubo_feasible,cost.popularity+qubo_tabu,cost.itemknn,cost.itemknn+greedy_topk,cost.itemknn+mmr,cost.itemknn+quota_mmr,cost.itemknn+qubo_feasible,cost.itemknn+qubo_tabu,cost.als,cost.als+greedy_topk,cost.als+mmr,cost.als+quota_mmr,cost.als+qubo_feasible,cost.als+qubo_tabu
never,100000,popularity,1,9.953870015571718,25.09241176860328,198.64036838243075,136.0018308684068,34088.747788514185,24713.805290538046,19.89958218864,38.45471157212,215.96922348483997,156.84071419219,33052.22001008065,24863.88703547297,17.23149570024,43.38794941936666,209.39713541666,157.40141411613,33287.54290674603,24741.30553355414
"1,000,000",100000,popularity,1,9.953870015571718,25.09241176860328,198.64036838243075,136.0018308684068,34088.747788514185,24713.805290538046,19.89958218864,38.45471157212,215.96922348483997,156.84071419219,33052.22001008065,24863.88703547297,17.23149570024,43.38794941936666,209.39713541666,157.40141411613,33287.54290674603,24741.30553355414
"100,000",100000,popularity,2,9.954036327439734,25.182413666376558,198.7303921439515,136.09183661944363,34088.84171759728,24713.895303298323,20.11051968864,38.76330532212,216.26609848483997,157.15321419219,33052.52469758065,24864.17609797297,23.13774570024,49.632741086033334,215.40885416666,163.27250786613,33293.33978174603,24748.20006480414
"10,000",100000,popularity,11,9.955533134251867,25.992430746336073,199.54060599763812,136.90188837877488,34089.68707934513,24714.705418140806,22.00895718864,41.54064907212,218.93797348483997,159.96571419219,33055.26688508065,24866.77766047297,76.29399570024,105.83586608603335,269.51432291666003,216.11235161613,33345.51165674603,24810.25084605414
"1,000",100000,popularity,101,9.970501202373208,34.09260154593121,207.6427445345045,145.00240597208747,34098.14069682364,24722.80656656563,40.99333218864,69.31408657212,245.65672348483997,188.09071419219,33082.68876008065,24892.79328547297,607.85649570024,667.8671160860333,810.56901041666,744.51078911613,33867.23040674603,25430.75865855414
100,100000,popularity,1001,10.12018188358662,115.09430954188258,288.66412990316803,226.00758190521339,34182.67687160874,24803.818050813872,230.83708218864,347.04846157212,512.84422348484,469.34071419219003,33356.90751008065,25152.94953547297,5923.48149570024,6288.179616086034,6221.11588541666,6028.49516411613,39084.41790674603,31635.83678355414
