family,reranker,cpu_rerank,cpu_serving_total,rerank_share_of_serving,cpu_rerank_setup,serving_multiplier
popularity,greedy_topk,0.0164473684210526,0.0268078805504326,0.6135273689432784,0.08984375,2.587505348737703
popularity,mmr,0.1875,0.1980288594310963,0.9465363171160165,0.08984375,18.70428571428583
popularity,quota_mmr,0.109375,0.1199802036199094,0.9155920281359915,0.08984375,11.847222222222339
popularity,qubo_feasible,32.796875,32.808292873601054,0.9996605257389386,0.09765625,2945.731428572171
popularity,qubo_tabu,24.3125,24.323474702380953,0.999572789690269,0.08984375,2340.7674796745346
itemknn,greedy_topk,0.015625,0.033996212121212,0.45961002785515487,0.09375,1.8505154639175316
itemknn,mmr,0.1796875,0.19761473429951681,0.9069607955194887,0.09375,10.748157248157332
itemknn,quota_mmr,0.1145833333333333,0.1328463203463202,0.8625254582484732,0.08984375,7.274074074074107
itemknn,qubo_feasible,31.125,31.14155844155844,0.9994682847491555,0.08984375,1880.7058823529799
itemknn,qubo_tabu,24.4375,24.455821805006586,0.9992508203096723,0.09375,1334.7932584270775
als,greedy_topk,0.0208333333333333,0.0338879870129869,0.6272401433691789,0.09765625,2.6826923076923306
als,mmr,0.1875,0.2032970470470469,0.9402401563808995,0.08984375,16.733644859813175
als,quota_mmr,0.1458333333333333,0.1659873188405796,0.8633496846531188,0.09375,7.317948717948736
als,qubo_feasible,31.859375,31.877480158730158,0.9994320392126352,0.09375,1760.6849315069041
als,qubo_tabu,24.359375,24.375172047047048,0.9993519205929478,0.09765625,1543.0207920791056
