family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,3,0.062567318844249,0.125,1.5,8.552271483305966e-05,6.580679126085813e-05,0.03258662638722275,0.07527456974637706,8.552271483305966e-05,0.0,0.0104166666666666,0.0023854961832061,0.0
itemknn,none,3,0.1622287261512268,0.355,1.3625,0.001953125,6.690014367816092e-05,0.024694216151552095,0.034649197414406134,0.001953125,0.0,0.0107758620689655,0.0025201612903225,0.0
als,none,3,0.0592535889351285,0.135,0.489,0.625,7.24969474969475e-05,0.15,0.37032304051073867,0.625,0.0,0.0120192307692307,0.0024801587301587,0.0
popularity,quota_mmr,3,0.0525431886506087,0.09,0.2994999999999999,0.0005803318409427,0.0017098178341384,0.022516676390999746,0.14108456396032296,8.423180592991914e-05,0.0004968203497615,0.0107758620689655,0.002422480620155,0.328125
itemknn,quota_mmr,3,0.1094827004641504,0.205,0.2669999999999999,0.0024577771510935,0.0018626817912608,0.02131974284706282,0.08790527577073115,0.001929012345679,0.0005148270181219,0.0107758620689655,0.0023854961832061,0.359375
als,quota_mmr,3,0.0545606280994651,0.12,0.2609999999999999,0.6255530973451328,0.0021222882231404,0.049931778168405966,0.1140183770354889,0.625,0.0005182421227197,0.0125,0.0025826446280991,0.40625
