retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
never,100000,popularity,1,10.827515013005709,268.5684464758055,18.60203598484,291.62630208333,19.441370223969997,341.52604166666003
"1,000,000",100000,popularity,1,10.827515013005709,268.5684464758055,18.60203598484,291.62630208333,19.441370223969997,341.52604166666003
"100,000",100000,popularity,2,10.827670408331416,268.65454341458104,18.79734848484,291.91145833333,25.316370223969997,347.44010416666003
"10,000",100000,popularity,11,10.829068966262794,269.4294158635606,20.55516098484,294.47786458333,78.19137022397,400.66666666666003
"1,000",100000,popularity,101,10.843054545576567,277.1781403533565,38.13328598484,320.14192708333,606.94137022397,932.93229166666
100,100000,popularity,1001,10.982910338714309,354.66538525131574,213.91453598484,576.7825520833301,5894.44137022397,6255.58854166666
