retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
never,100000,popularity,1,6.5807646488006455,170.98236374568094,6.691967492816092,186.27063690323112,7.87469474969475,212.85437541138515
"1,000,000",100000,popularity,1,6.5807646488006455,170.98236374568094,6.691967492816092,186.27063690323112,7.87469474969475,212.85437541138515
"100,000",100000,popularity,2,6.580850171515479,170.98294407752186,6.693920617816092,186.2730946803822,8.49969474969475,213.4799285087303
"10,000",100000,popularity,11,6.581619875948976,170.98816706409036,6.711498742816092,186.29521467474206,14.12469474969475,219.10990638483648
"1,000",100000,popularity,101,6.589316920283951,171.0403969297752,6.887279992816092,186.51641461834046,70.37469474969475,275.40968514589844
100,100000,popularity,1001,6.666287363633706,171.56269558662365,8.645092492816092,188.72841405432462,632.8746947496948,838.4074727565179
