user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
413,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
415,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
418,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
421,0.0,1.0,0.0,0.6,ml100k,popularity,none,0,50,
422,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
426,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
427,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
436,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
446,0.430676558073393,1.0,1.0,0.9,ml100k,popularity,none,0,50,
450,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
451,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
459,0.3868528072345416,1.0,1.0,1.3,ml100k,popularity,none,0,50,
468,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
471,0.3010299956639812,1.0,1.0,1.3,ml100k,popularity,none,0,50,
474,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
480,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
481,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
484,1.0,1.0,1.0,0.9,ml100k,popularity,none,0,50,
488,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
489,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
492,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
505,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,50,
511,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,50,
513,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,50,
522,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
529,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
542,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,50,
543,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
549,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
553,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
554,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
556,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
561,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
564,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
567,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
571,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
585,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
587,0.3868528072345416,1.0,1.0,1.3,ml100k,popularity,none,0,50,
590,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
595,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
598,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
606,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
612,0.0,1.0,0.0,0.6,ml100k,popularity,none,0,50,
