family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,5,0.003046875,0.0031918797348484845,0.9566360052562419,0.0489981601915242,0.2575,0.105,False,1.0
gru4rec,quota_mmr,5,0.00484375,0.0059375,0.8157894736842105,0.0860173663167821,0.262,0.16,False,1.0
itemknn,quota_mmr,5,0.002578125,0.0027587365591397843,0.9345310596833132,0.05286461796735,0.248,0.105,False,1.0
multvae,quota_mmr,5,0.004453125,0.005066964285714286,0.8788546255506607,0.0489264170590278,0.246,0.1,False,1.0
popularity,quota_mmr,5,0.0025,0.002607444638694638,0.9587931275317784,0.0517239603432495,0.2504999999999999,0.095,False,1.0
