family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,5,0.00328125,0.003424862132352941,0.958217270194986,0.1765850073074333,0.2759999999999999,0.23,False,1.0
itemknn,quota_mmr,5,0.003046875,0.003166893115942028,0.9624166784853213,0.2028662269519375,0.2975,0.26,False,1.0
popularity,quota_mmr,5,0.004140625,0.004245843855218854,0.9758402338041892,0.0080824743622485,1.5,0.015,False,1.0
