family,reranker,cpu_rerank,cpu_serving_total,rerank_share_of_serving,cpu_rerank_setup,serving_multiplier
popularity,quota_mmr,0.5,0.5214889277389276,0.9587931275317784,0.0859375,24.267796610169608
itemknn,quota_mmr,0.515625,0.5517473118279569,0.9345310596833132,0.08984375,15.274418604651203
als,quota_mmr,0.609375,0.6383759469696969,0.9566360052562419,0.08984375,23.060606060606112
multvae,quota_mmr,0.890625,1.0133928571428572,0.8788546255506607,0.375,8.25454545454545
gru4rec,quota_mmr,0.96875,1.1875,0.8157894736842105,0.4375,5.428571428571429
