family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,5,0.072913936053882,0.145,1.5,8.457374830852504e-05,6.293402777777778e-05,0.03066367972381942,0.12294191275668269,8.457374830852504e-05,0.0,0.0104166666666666,0.0021853146853146,0.0
itemknn,none,5,0.173263397498214,0.355,1.3595,0.0018712574850299,6.392045454545454e-05,0.18439716312054533,0.0860579749468639,0.0018712574850299,0.0,0.0104166666666666,0.0023674242424242,0.0
als,none,5,0.0584845708983978,0.14,0.482,0.65625,6.773105234460197e-05,0.09523809523809523,0.09700499425071107,0.65625,0.0,0.0111607142857142,0.0023854961832061,0.0
popularity,quota_mmr,5,0.0534092704351613,0.08,0.2999999999999999,0.0005686736239552,0.0016255099067599,0.024821331021169277,0.19557995378293241,8.197796432318992e-05,0.00048751950078,0.0100806451612903,0.0022007042253521,0.3125
itemknn,quota_mmr,5,0.1277338101296144,0.225,0.284,0.0023776855239703,0.001704456453634,0.10245559487699642,0.18472223543512628,0.0018939393939393,0.0004890453834115,0.0104166666666666,0.0023496240601503,0.328125
als,quota_mmr,5,0.056906936892496,0.145,0.2565,0.6723758012820513,0.0020183267741129,0.16262474638871746,0.1493274929841668,0.671875,0.0005008012820512,0.0107758620689655,0.0023854961832061,0.390625
