family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,5,0.00265625,0.0033072916666666663,0.8192771084337349,0.0452364077207669,0.4514999999999999,0.07,False,1.0
itemknn,quota_mmr,5,0.003359375,0.003745993589743589,0.8888888888888891,0.0601778256080599,0.2669999999999999,0.08,False,1.0
popularity,quota_mmr,5,0.005703125,0.006050967261904762,0.9425146019059331,0.0049356847033973,1.5,0.01,False,1.0
