n_requests,cheapest,cost,unit,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
1,popularity,0.00023067458648014922,cpu_seconds,0.00023067458648014922,0.035625082895748096,0.0719959077380952,0.1097641153381642,5.578265739889706,5.519049862132353
10,popularity,0.001123531729337292,cpu_seconds,0.001123531729337292,0.07383767759271731,0.07308407738095199,0.13826615338164222,5.579532398897058,5.549873621323529
100,popularity,0.01005210315790872,cpu_seconds,0.01005210315790872,0.45596362456240935,0.08396577380952,0.42328653381642223,5.59219898897058,5.85811121323529
1000,popularity,0.099337817443623,cpu_seconds,0.099337817443623,4.2772230942593295,0.1927827380952,3.273490338164222,5.7188648897058,8.9404871323529
10000,popularity,0.9921949603007659,cpu_seconds,0.9921949603007659,42.48981779122854,1.280952380952,31.775528381642225,6.985523897058,39.764246323529
100000,popularity,9.920766388872195,cpu_seconds,9.920766388872195,424.61576476092057,12.16264880952,316.7959088164222,19.65211397058,348.00183823529
1000000,popularity,99.20648067458647,cpu_seconds,99.20648067458647,4245.875234457841,120.97961309520001,3166.999713164222,146.31801470579998,3430.3777573529
