family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,5,0.0049356847033973,0.01,1.5,0.0003143863179074,0.0003348214285714,0.02444262295079701,0.03888888888879256,0.0003143863179074,0.0,0.0148809523809523,0.0520833333333333,0.0
itemknn,none,5,0.0601561346534301,0.085,1.1775,0.328125,0.0003971354166666,0.09523809523809523,0.10304449648708879,0.328125,0.0,0.0260416666666666,0.0520833333333333,0.0
als,none,5,0.0410691904859488,0.065,1.4665,30.3125,0.0005282738095238,0.02577319587628866,0.30193661971844155,30.3125,0.0,0.0535714285714285,0.0520833333333333,0.0
als,quota_mmr,5,0.0452364077207669,0.07,0.4514999999999999,30.526041666666668,0.0033072916666666,0.013820167206961269,0.05196850393700884,30.390625,0.1354166666666666,0.065625,0.0546875,0.53125
itemknn,quota_mmr,5,0.0601778256080599,0.08,0.2669999999999999,0.484375,0.0037459935897435,0.04301075268817189,0.08275401069520416,0.34375,0.140625,0.0260416666666666,0.0572916666666666,0.671875
popularity,quota_mmr,5,0.0049356847033973,0.01,1.5,0.1357428670842032,0.0060509672619047,0.03836434753517993,0.02520750076851141,0.0003182281059063,0.1354166666666666,0.015625,0.0546875,1.140625
