retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
never,100000,popularity,1,9.920766388872195,424.61576476092057,12.16264880952,316.7959088164222,19.65211397058,348.00183823529
"1,000,000",100000,popularity,1,9.920766388872195,424.61576476092057,12.16264880952,316.7959088164222,19.65211397058,348.00183823529
"100,000",100000,popularity,2,9.920897857109468,424.6471439999611,12.23452380952,316.90250603864445,25.23023897058,353.51746323529
"10,000",100000,popularity,11,9.922081071244932,424.92955715132587,12.88139880952,317.8618810386444,75.43336397058,403.15808823529
"1,000",100000,popularity,101,9.933913212599574,427.75368866497354,19.35014880952,327.4556310386444,577.46461397058,899.56433823529
100,100000,popularity,1001,10.052234626145994,455.99500380144985,84.03764880952,423.3931310386444,5597.77711397058,5863.62683823529
