user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
708,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
717,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,100,
722,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
739,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
745,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
757,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
759,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
771,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
780,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
785,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,100,
794,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
806,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
817,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
832,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
856,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,100,
860,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
869,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,100,
881,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
894,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
913,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
934,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
2,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
4,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.4030551621947433
7,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.494854693571831
14,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4827714806992631
19,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.5025495877749062
25,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4197972142725361
29,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4228580777051972
34,0.0,1.0,0.0,0.8,ml100k,popularity,greedy_topk,0,100,0.2954800800383333
45,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4200230730924827
63,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4654009296664574
67,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4678650101448984
70,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4293677778997288
78,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4743321806133987
79,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5122360593745131
110,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4731337970277884
122,0.6309297535714575,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.451758639549724
149,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4443568431666296
153,0.3010299956639812,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4761640309039405
212,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4338915488083033
228,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5246389787825264
229,0.0,1.0,0.0,0.5,ml100k,popularity,greedy_topk,0,100,0.3285383290759506
235,0.5,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4360837705641265
239,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4753960547579856
247,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4560489351635006
261,0.0,1.0,0.0,0.3,ml100k,popularity,greedy_topk,0,100,0.3707341597877527
264,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4409240032337336
283,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4353814789476176
298,0.3154648767857287,1.0,1.0,1.1,ml100k,popularity,greedy_topk,0,100,0.435645889621165
