stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,itemknn,0.3853041000002122,0.390625,0.359375,0.03125,1.0138096116801891,295297024,2,0.1953125,ml100k,0,,ml100k,itemknn,none,0
retrieve_score,itemknn,0.3165932000010798,0.3125,0.3125,0.0,0.9870711057563276,295297024,23,0.0135869565217391,ml100k,0,,ml100k,itemknn,none,0
retrieve_select,itemknn,0.3035834999973303,0.3125,0.21875,0.09375,1.029370832086553,295297024,79,0.0039556962025316,ml100k,0,,ml100k,itemknn,none,0
train,itemknn,0.3866827999991074,0.375,0.34375,0.03125,0.969787122677465,295297024,2,0.1875,ml100k,0,,ml100k,itemknn,greedy_topk,0
rerank_setup,itemknn,0.3632684999975026,0.375,0.28125,0.09375,1.0322942947229887,295297024,4,0.09375,ml100k,0,,ml100k,itemknn,greedy_topk,0
retrieve_score,itemknn,0.3213623999981791,0.3125,0.3125,0.0,0.9724224115881964,295297024,23,0.0135869565217391,ml100k,0,,ml100k,itemknn,greedy_topk,0
retrieve_select,itemknn,0.3016141999978572,0.3125,0.296875,0.015625,1.0360918020511638,295297024,78,0.0040064102564102,ml100k,0,,ml100k,itemknn,greedy_topk,0
rerank,itemknn,0.3203067999966151,0.3125,0.28125,0.03125,0.9756271175114056,322269184,21,0.0148809523809523,ml100k,0,,ml100k,itemknn,greedy_topk,0
train,itemknn,0.3900319999993371,0.390625,0.375,0.015625,1.0015203880724246,322273280,2,0.1953125,ml100k,0,,ml100k,itemknn,mmr,0
rerank_setup,itemknn,0.3678679000004194,0.375,0.265625,0.109375,1.0193876660604864,322273280,4,0.09375,ml100k,0,,ml100k,itemknn,mmr,0
retrieve_score,itemknn,0.3176779999994323,0.3125,0.296875,0.015625,0.9837004765849646,322273280,23,0.0135869565217391,ml100k,0,,ml100k,itemknn,mmr,0
retrieve_select,itemknn,0.3080458000004,0.3125,0.28125,0.03125,1.014459538158268,322273280,77,0.0040584415584415,ml100k,0,,ml100k,itemknn,mmr,0
rerank,itemknn,0.3572133999987272,0.359375,0.34375,0.015625,1.0060512847538208,322273280,2,0.1796875,ml100k,0,,ml100k,itemknn,mmr,0
train,itemknn,0.3872673000005306,0.390625,0.328125,0.0625,1.0086702388749702,322273280,2,0.1953125,ml100k,0,,ml100k,itemknn,quota_mmr,0
rerank_setup,itemknn,0.3564636000010068,0.34375,0.265625,0.078125,0.964334086282664,322273280,4,0.0859375,ml100k,0,,ml100k,itemknn,quota_mmr,0
retrieve_score,itemknn,0.304294800000207,0.3125,0.296875,0.015625,1.0269646408673017,322273280,22,0.0142045454545454,ml100k,0,,ml100k,itemknn,quota_mmr,0
retrieve_select,itemknn,0.3105393000005279,0.3125,0.25,0.0625,1.0063138546376218,322273280,75,0.0041666666666666,ml100k,0,,ml100k,itemknn,quota_mmr,0
rerank,itemknn,0.4023796000001312,0.375,0.375,0.0,0.9319557949753858,322273280,3,0.125,ml100k,0,,ml100k,itemknn,quota_mmr,0
train,itemknn,0.425283099997614,0.40625,0.375,0.03125,0.9552460466975508,322273280,2,0.203125,ml100k,0,,ml100k,itemknn,balanced_quota,0
rerank_setup,itemknn,0.3753364000003785,0.375,0.328125,0.046875,0.999103737339682,322273280,4,0.09375,ml100k,0,,ml100k,itemknn,balanced_quota,0
retrieve_score,itemknn,0.3053660999976273,0.3125,0.3125,0.0,1.023361794260817,322273280,21,0.0148809523809523,ml100k,0,,ml100k,itemknn,balanced_quota,0
retrieve_select,itemknn,0.3104653000009421,0.3125,0.234375,0.078125,1.0065537114745249,322273280,71,0.0044014084507042,ml100k,0,,ml100k,itemknn,balanced_quota,0
rerank,itemknn,0.39735809999911,0.375,0.359375,0.015625,0.9437331213352388,322273280,3,0.125,ml100k,0,,ml100k,itemknn,balanced_quota,0
train,itemknn,0.4191203000009409,0.421875,0.40625,0.015625,1.0065725759383473,322273280,2,0.2109375,ml100k,0,,ml100k,itemknn,qubo_feasible,0
rerank_setup,itemknn,0.3934315000005881,0.390625,0.28125,0.109375,0.9928666108316596,322273280,4,0.09765625,ml100k,0,,ml100k,itemknn,qubo_feasible,0
retrieve_score,itemknn,0.307818600002065,0.3125,0.3125,0.0,1.0152083077432732,322273280,18,0.0173611111111111,ml100k,0,,ml100k,itemknn,qubo_feasible,0
