family,reranker,cpu_rerank,cpu_serving_total,rerank_share_of_serving,cpu_rerank_setup,serving_multiplier
popularity,greedy_topk,0.0148809523809523,0.0254098118120486,0.5910161771634994,0.08984375,2.445084485407067
popularity,mmr,0.1875,0.1976191993880672,0.9487944520603182,0.08984375,19.5291338582679
popularity,quota_mmr,0.1145833333333333,0.12542517006802711,0.9139784946236569,0.09375,11.625000000000124
popularity,balanced_quota,0.1041666666666666,0.11412133464020241,0.9077040427154849,0.08984375,10.834710743801708
popularity,qubo_feasible,30.21875,30.228927048332903,0.9996633341197777,0.08984375,2970.303968253935
popularity,qubo_tabu,24.265625,24.278012166405023,0.9995642663552623,0.08984375,2294.97999999984
itemknn,greedy_topk,0.0148809523809523,0.0339413875598085,0.44968553459119515,0.09375,1.8171428571428576
itemknn,mmr,0.1796875,0.1973862986270022,0.904761904761905,0.08984375,10.500000000000023
itemknn,quota_mmr,0.109375,0.1279198232323231,0.8574610244988873,0.08984375,7.015625000000042
itemknn,balanced_quota,0.1041666666666666,0.1215277777777776,0.8443774303626702,0.08984375,6.425803161652242
itemknn,qubo_feasible,30.03125,30.0484375,0.9993864041066645,0.09375,1629.7371134019684
itemknn,qubo_tabu,24.234375,24.25280251842752,0.9992481440435715,0.08984375,1330.0420000000122
als,greedy_topk,0.01953125,0.033778561827956896,0.5782143745336997,0.08984375,2.3708726415094428
als,mmr,0.1796875,0.1959964225589224,0.9257068667051361,0.09375,13.460194174757374
als,quota_mmr,0.1354166666666666,0.1479744547178756,0.915135432834327,0.08984375,11.78348082595879
als,balanced_quota,0.1041666666666666,0.1194220430107525,0.8830744540608704,0.09375,8.552450980392178
als,qubo_feasible,30.109375,30.120082377728654,0.9996445103438173,0.08984375,2813.0213709679033
als,qubo_tabu,24.15625,24.170641116035455,0.9994046034622596,0.08984375,1679.5529308836904
