retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+greedy_topk,cost.popularity+mmr,cost.popularity+quota_mmr,cost.popularity+balanced_quota,cost.popularity+qubo_feasible,cost.popularity+qubo_tabu,cost.itemknn,cost.itemknn+greedy_topk,cost.itemknn+mmr,cost.itemknn+quota_mmr,cost.itemknn+balanced_quota,cost.itemknn+qubo_feasible,cost.itemknn+qubo_tabu,cost.als,cost.als+greedy_topk,cost.als+mmr,cost.als+quota_mmr,cost.als+balanced_quota,cost.als+qubo_feasible,cost.als+qubo_tabu
never,100000,popularity,1,10.068018312310679,25.499821081107793,197.7092091848188,125.51908898693891,114.21134140532781,30229.017057865392,24278.1021752369,18.5117000598,34.2304500598,197.671454877,128.20497948232,121.81293402777,30048.718749999993,24253.087674677517,18.439967105260003,39.46215557795,201.94954755892,153.84554846787,125.06266801074999,30126.109721478653,24176.543459785447
"1,000,000",100000,popularity,1,10.068018312310679,25.499821081107793,197.7092091848188,125.51908898693891,114.21134140532781,30229.017057865392,24278.1021752369,18.5117000598,34.2304500598,197.671454877,128.20497948232,121.81293402777,30048.718749999993,24253.087674677517,18.439967105260003,39.46215557795,201.94954755892,153.84554846787,125.06266801074999,30126.109721478653,24176.543459785447
"100,000",100000,popularity,2,10.068177669781356,25.58983035017559,197.79921898157755,125.61300790585783,114.30134817045561,30229.107067397887,24278.192184068783,18.7070125598,34.5195125598,197.956611127,128.49013573232,122.09809027777,30048.999999999993,24253.372830927517,24.564967105260003,45.14574932795,207.90267255892,159.71664221787,130.70329301074997,30132.137065228653,24182.445803535447
"10,000",100000,popularity,11,10.06961188701746,26.39991377178576,198.60930715240647,126.4582781761281,115.11140905660585,30229.917153190327,24279.002263555707,20.4648250598,37.1210750598,200.523017377,131.05654198232,124.66449652777,30051.531249999993,24255.939237177517,79.68996710526,96.29809307795,261.48079755892,212.55648596787,181.46891801074997,30186.383158978653,24235.566897285447
"1,000",100000,popularity,101,10.083954059378499,34.50074798788745,206.71018886069552,134.9109808788308,123.21201791810819,30238.018011114727,24287.103058424964,38.0429500598,63.1367000598,226.187079877,156.72060448232,150.32855902776998,30076.843749999993,24281.603299677517,630.93996710526,607.8215305779499,797.26204755892,740.95492346787,689.12516801075,30728.844096478653,24766.777834785447
100,100000,popularity,1001,10.227375782988878,115.50909014890439,287.719005943586,219.43800790585783,204.21810653313162,30319.02659035876,24368.111007117514,213.8242000598,323.2929500598,482.827704877,413.36122948232,406.96918402777,30329.968749999993,24538.243924677517,6143.43996710526,5723.05590557795,6155.07454755892,6024.93929846787,5765.68766801075,36153.45347147866,30078.887209785447
