n_requests,frontier,dominated,cheapest,most_accurate
1,"popularity, popularity+balanced_quota, popularity+quota_mmr, itemknn+balanced_quota, itemknn+mmr, itemknn+qubo_tabu","als+qubo_feasible, als+qubo_tabu, als, als+mmr, als+quota_mmr, als+greedy_topk, als+balanced_quota, itemknn+qubo_feasible, popularity+qubo_feasible, popularity+qubo_tabu, itemknn+greedy_topk, itemknn+quota_mmr, itemknn, popularity+mmr, popularity+greedy_topk",popularity,itemknn+qubo_tabu
10,"popularity, popularity+balanced_quota, popularity+quota_mmr, itemknn+balanced_quota, itemknn+mmr, itemknn+qubo_tabu","als+qubo_feasible, als+qubo_tabu, als, als+mmr, als+quota_mmr, als+greedy_topk, als+balanced_quota, itemknn+qubo_feasible, popularity+qubo_feasible, popularity+qubo_tabu, itemknn+quota_mmr, itemknn+greedy_topk, itemknn, popularity+mmr, popularity+greedy_topk",popularity,itemknn+qubo_tabu
100,"popularity, popularity+balanced_quota, popularity+quota_mmr, itemknn+balanced_quota, itemknn+mmr, als+greedy_topk, als+mmr, itemknn+qubo_tabu","als+qubo_feasible, itemknn+qubo_feasible, popularity+qubo_feasible, als+qubo_tabu, popularity+qubo_tabu, als, als+quota_mmr, als+balanced_quota, itemknn+quota_mmr, itemknn+greedy_topk, popularity+mmr, itemknn, popularity+greedy_topk",popularity,itemknn+qubo_tabu
1000,"popularity, itemknn, popularity+balanced_quota, popularity+quota_mmr, itemknn+balanced_quota, itemknn+mmr, als+greedy_topk, als+mmr, itemknn+qubo_tabu","als+qubo_feasible, popularity+qubo_feasible, itemknn+qubo_feasible, als+qubo_tabu, popularity+qubo_tabu, als+quota_mmr, als+balanced_quota, als, popularity+mmr, itemknn+quota_mmr, itemknn+greedy_topk, popularity+greedy_topk",popularity,itemknn+qubo_tabu
10000,"popularity, itemknn, als, als+mmr, itemknn+qubo_tabu","popularity+qubo_feasible, als+qubo_feasible, itemknn+qubo_feasible, popularity+qubo_tabu, als+qubo_tabu, als+quota_mmr, itemknn+mmr, popularity+mmr, als+balanced_quota, itemknn+quota_mmr, popularity+quota_mmr, itemknn+balanced_quota, popularity+balanced_quota, als+greedy_topk, itemknn+greedy_topk, popularity+greedy_topk",popularity,itemknn+qubo_tabu
100000,"popularity, als, als+mmr, itemknn+qubo_tabu","popularity+qubo_feasible, als+qubo_feasible, itemknn+qubo_feasible, popularity+qubo_tabu, als+qubo_tabu, popularity+mmr, itemknn+mmr, als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr, als+balanced_quota, itemknn+balanced_quota, popularity+balanced_quota, als+greedy_topk, itemknn+greedy_topk, popularity+greedy_topk, itemknn",popularity,itemknn+qubo_tabu
1000000,"popularity, als, als+mmr, itemknn+qubo_tabu","popularity+qubo_feasible, als+qubo_feasible, itemknn+qubo_feasible, popularity+qubo_tabu, als+qubo_tabu, popularity+mmr, itemknn+mmr, als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr, itemknn+balanced_quota, als+balanced_quota, popularity+balanced_quota, als+greedy_topk, itemknn+greedy_topk, popularity+greedy_topk, itemknn",popularity,itemknn+qubo_tabu
