dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,popularity,none,200,50,10,0.0001731301939058,0.3037845999970159,0.0,0.0,0.011574074074074,0.3246872999989136,0.0076219512195121,0.3054955000006885,0.0,0.0,0.0001731301939058,9.598012646793134e-05,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.225,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,popularity,none,200,100,10,0.0001619170984455,0.3041947000019718,0.0,0.0,0.011574074074074,0.3147706000017933,0.0089285714285714,0.3106780000016442,0.0,0.0,0.0001619170984455,0.0001025132275132,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.365,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,popularity,none,200,200,10,0.000166135034556,0.3084975000019767,0.0,0.0,0.011574074074074,0.3192713999997068,0.0107758620689655,0.3123954999973648,0.0,0.0,0.000166135034556,0.0001117496807151,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.5,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,popularity,none,200,400,10,0.000162422037422,0.3101027000011527,0.0,0.0,0.0111607142857142,0.3223593000002438,0.0142045454545454,0.3118432999981451,0.0,0.0,0.000162422037422,0.0001268262987012,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.715,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,popularity,none,200,800,10,0.0001965408805031,0.299776900003053,0.0,0.0,0.015625,0.3340934000007109,0.0223214285714285,0.3129838000022573,0.0,0.0,0.0001965408805031,0.0001897321428571,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.92,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,popularity,quota_mmr,200,50,10,0.0001767533936651,0.3112954999996873,0.09375,0.3850300999984029,0.0130208333333333,0.3032934000002569,0.0080128205128205,0.31950439999855,0.1197916666666666,0.3691312999981164,0.0939267533936651,0.0007041266025641,0.0582760801620849,0.9141206939082096,0.12,0.2385,0.0400296515937731,0.9853269088213492,0.225,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,4.2,0.3641412665194039,,,
ml100k,popularity,quota_mmr,200,100,10,0.0001676502145922,0.3002726000013354,0.09375,0.3797314000003098,0.0125,0.3159329000009165,0.0086805555555555,0.3070197999986703,0.234375,0.4816685000005236,0.0939176502145922,0.0012777777777777,0.0551214313942276,0.9130084025392536,0.115,0.2395,0.0415122312824314,0.9852416604892512,0.365,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,4.2,0.3617810200099312,,,
ml100k,popularity,quota_mmr,200,200,10,0.0001667556029882,0.3004655000004277,0.08984375,0.3633464999984426,0.0120192307692307,0.312092299998767,0.0107758620689655,0.3150607999996282,0.515625,0.5145370999998704,0.0900105056029882,0.0026921004641909,0.0551214313942276,0.9122173993334148,0.115,0.246,0.0415122312824314,0.9850926612305412,0.5,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,4.2,0.3604117860291841,,,
ml100k,popularity,quota_mmr,200,400,10,0.0001610824742268,0.3053527000010945,0.08984375,0.371715099998255,0.0125,0.3051952999994682,0.0142045454545454,0.3147219000020413,1.34375,1.3385414000003948,0.0900048324742268,0.0068522727272727,0.0551214313942276,0.911511999542436,0.115,0.2475,0.0407709414381022,0.9850229799851742,0.715,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,4.2,0.3589727243624847,,,
ml100k,popularity,quota_mmr,200,800,10,0.0001653439153439,0.3004763999997522,0.09375,0.3820484999996552,0.0125,0.3088873000015155,0.0208333333333333,0.3096955000000889,3.46875,3.4789673000013863,0.0939153439153439,0.0175104166666666,0.0551214313942276,0.9104631754270384,0.115,0.2495,0.0407709414381022,0.9848346923647148,0.92,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,4.2,0.3567619564642927,,,
