n_requests,frontier,dominated,cheapest,most_accurate
1,"popularity, popularity+quota_mmr, itemknn, als+quota_mmr, als",itemknn+quota_mmr,popularity,als
10,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
100,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
1000,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
10000,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
100000,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
1000000,"popularity, itemknn, als","als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr",popularity,als
