n_requests,frontier,dominated,cheapest,most_accurate
1,"popularity, popularity+quota_mmr, als, gru4rec","gru4rec+quota_mmr, als+quota_mmr, multvae+quota_mmr, multvae, itemknn+quota_mmr, itemknn",popularity,gru4rec
10,"popularity, popularity+quota_mmr, als, gru4rec","gru4rec+quota_mmr, als+quota_mmr, multvae+quota_mmr, multvae, itemknn+quota_mmr, itemknn",popularity,gru4rec
100,"popularity, popularity+quota_mmr, als, gru4rec","gru4rec+quota_mmr, als+quota_mmr, multvae+quota_mmr, multvae, itemknn+quota_mmr, itemknn",popularity,gru4rec
1000,"popularity, popularity+quota_mmr, als, gru4rec","gru4rec+quota_mmr, multvae+quota_mmr, als+quota_mmr, multvae, itemknn+quota_mmr, itemknn",popularity,gru4rec
10000,"popularity, als, gru4rec","gru4rec+quota_mmr, multvae+quota_mmr, als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr, multvae, itemknn",popularity,gru4rec
100000,"popularity, als, gru4rec","gru4rec+quota_mmr, multvae+quota_mmr, als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr, multvae, itemknn",popularity,gru4rec
1000000,"popularity, als, gru4rec","gru4rec+quota_mmr, multvae+quota_mmr, als+quota_mmr, itemknn+quota_mmr, popularity+quota_mmr, multvae, itemknn",popularity,gru4rec
