family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
itemknn,none,5,0.17145663191748,0.355,1.3635000000000002,0.0020424836601307,6.532485875706214e-05,0.3579598627430463,0.25034290689630523,0.0020424836601307,0.0,0.0104166666666666,0.0026483050847457,0.0
popularity,none,5,0.072913936053882,0.145,1.5,8.375770570892522e-05,6.587352283615459e-05,0.5113354423928084,0.15907949842505462,8.375770570892522e-05,0.0,0.0104166666666666,0.002561475409836,0.0
als,none,5,0.0592535889351285,0.14,0.489,0.71875,6.882440476190476e-05,0.15217391304347827,0.2598375113631609,0.71875,0.0,0.0111607142857142,0.0026041666666666,0.0
popularity,quota_mmr,5,0.0525431886506087,0.09,0.2994999999999999,0.0005777766866137,0.0018620187918441,0.23149164642467684,0.20011360888998897,8.409580193756728e-05,0.0004936808846761,0.0100806451612903,0.0027901785714285,0.359375
itemknn,quota_mmr,5,0.1123241503367844,0.21,0.2659999999999999,0.0025159809038313,0.0019399965564738,0.49317817434348815,0.2879992108806331,0.0020292207792207,0.0004944620253164,0.0104166666666666,0.0025826446280991,0.375
als,quota_mmr,5,0.0545606280994651,0.13,0.2609999999999999,0.7192429022082019,0.0021798461768219,0.3694199809168565,0.22299961993387754,0.71875,0.000531462585034,0.011574074074074,0.0025201612903225,0.421875
