family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,5,0.003125,0.0032886904761904754,0.955818762925362,0.0470996768572103,0.256,0.095,False,1.0
gru4rec,quota_mmr,5,0.005390625,0.006796875,0.8253275109170306,0.0669416695718763,0.2604999999999999,0.12,False,1.0
itemknn,quota_mmr,5,0.00265625,0.0028352864583333333,0.936854190585534,0.0467593097719959,0.2465,0.095,False,1.0
multvae,quota_mmr,5,0.00453125,0.005281808035714286,0.8592964824120604,0.0410561823888268,0.248,0.085,False,1.0
popularity,quota_mmr,5,0.002578125,0.0026945043103448274,0.9587931275317784,0.0539345033737276,0.2569999999999999,0.105,False,1.0
