retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr,cost.multvae,cost.multvae+quota_mmr,cost.gru4rec,cost.gru4rec+quota_mmr
never,100000,popularity,1,11.397713263724278,269.5482508114292,18.75,283.81770833333,19.38078703703,334.85342261904,69.47916666665999,533.1495535714199,571.27604166666,1135.375
"1,000,000",100000,popularity,1,11.397713263724278,269.5482508114292,18.75,283.81770833333,19.38078703703,334.85342261904,69.47916666665999,533.1495535714199,571.27604166666,1135.375
"100,000",100000,popularity,2,11.397880108358553,269.6460705883785,18.9453125,284.10677083333,25.16203703703,340.83779761904,73.85416666665999,538.1183035714199,1022.76041666666,1591.0625
"10,000",100000,popularity,11,11.399381710067042,270.5264485809217,20.703125,286.70833333333,77.19328703703,394.69717261904,113.22916666665999,582.8370535714199,5086.11979166666,5692.25
"1,000",100000,popularity,101,11.414397727151927,279.33022850635336,38.28125,312.72395833333,597.50578703703,933.29092261904,506.97916666666,1030.0245535714198,45719.71354166666,46704.125
100,100000,popularity,1001,11.564557898000777,367.36802776067043,214.0625,572.8802083333301,5800.63078703703,6319.22842261904,4444.47916666666,5501.89955357142,452055.6510416667,456822.875
