family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,5,0.002109375,0.0021798461768219824,0.9679704841930287,0.0545606280994651,0.2609999999999999,0.13,False,1.0
itemknn,quota_mmr,5,0.001875,0.0019399965564738286,0.9664965609052588,0.1123241503367844,0.2659999999999999,0.21,False,1.0
popularity,quota_mmr,5,0.001796875,0.0018620187918441868,0.9612064347698609,0.0525431886506087,0.2994999999999999,0.09,False,1.0
