family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,5,0.0046597987461771,0.01,0.0,0.0003600230414746,0.0003947368421052,0.1893455797934237,0.24037698412709188,0.0003600230414746,0.0,0.0164473684210526,0.0625,0.0
itemknn,none,5,0.0464601483711008,0.07,1.2005,0.375,0.0004545454545454,0.25,0.19943910256426395,0.375,0.0,0.0284090909090909,0.0625,0.0
als,none,5,0.0378973738409622,0.065,1.357,35.203125,0.0006640625,0.22237017310252996,0.26862745098029184,35.203125,0.0,0.065625,0.0572916666666666,0.0
als,quota_mmr,5,0.0410412706875005,0.075,0.2798333333333333,30.776041666666668,0.0034635416666666,0.35513623286512097,0.287218045112797,30.640625,0.140625,0.078125,0.0572916666666666,0.5625
itemknn,quota_mmr,5,0.0506713871662785,0.08,0.265,0.546875,0.00405859375,0.35714285714285715,0.35290343278792063,0.390625,0.15625,0.02734375,0.065625,0.71875
popularity,quota_mmr,5,0.0047319731517859,0.01,0.0,0.156615925058548,0.0068791118421052,0.23289748224070267,0.20723536276434892,0.0003460686600221,0.15625,0.0164473684210526,0.0625,1.296875
