n_requests,cheapest,cost,unit,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr,cost.multvae,cost.multvae+quota_mmr,cost.gru4rec,cost.gru4rec+quota_mmr
1,popularity,0.0002808200984674,cpu_seconds,0.0002808200984674,0.100514281259586,0.195498046875,0.2918977864583333,5.78138599537037,5.98766369047619,4.375651041666667,4.974031808035714,451.4855729166667,455.694296875
10,popularity,0.0013065992761855,cpu_seconds,0.0013065992761855,0.1247648200526892,0.19716796875,0.31741536458333297,5.782609953703703,6.017261904761904,4.381510416666666,5.021568080357142,451.49635416666666,455.75546875
100,popularity,0.0115643910533665,cpu_seconds,0.0115643910533665,0.36727020798372123,0.2138671875,0.5725911458333299,5.79484953703703,6.31324404761904,4.44010416666666,5.49693080357142,451.6041666666667,456.3671875
1000,popularity,0.11414230882517651,cpu_seconds,0.11414230882517651,2.7923240872940416,0.380859375,3.1243489583332997,5.9172453703703,9.2730654761904,5.0260416666666,10.2505580357142,452.6822916666666,462.484375
10000,popularity,1.1399214865432763,cpu_seconds,1.1399214865432763,27.04286288039724,2.05078125,28.641927083332998,7.141203703703,38.871279761904,10.885416666666,57.786830357141994,463.463541666666,523.65625
100000,popularity,11.397713263724278,cpu_seconds,11.397713263724278,269.5482508114292,18.75,283.81770833333,19.38078703703,334.85342261904,69.47916666665999,533.1495535714199,571.27604166666,1135.375
1000000,popularity,113.97563103553428,cpu_seconds,113.97563103553428,2694.6021301217493,185.7421875,2835.5755208333,141.7766203703,3294.6748511903997,655.4166666666,5286.7767857142,1649.4010416666,7252.5625
