family,reranker,cpu_rerank,cpu_serving_total,rerank_share_of_serving,cpu_rerank_setup,serving_multiplier
popularity,quota_mmr,0.515625,0.5389008620689655,0.9587931275317784,0.09765625,24.267796610169608
itemknn,quota_mmr,0.53125,0.5670572916666666,0.936854190585534,0.09375,15.836363636363652
als,quota_mmr,0.625,0.6577380952380951,0.955818762925362,0.09375,22.634042553191538
multvae,quota_mmr,0.90625,1.0563616071428572,0.8592964824120604,0.4375,7.10714285714286
gru4rec,quota_mmr,1.078125,1.359375,0.8253275109170306,0.625,5.725000000000001
