retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
never,100000,popularity,1,39.47404423356147,688.0678001355785,45.82954545454,406.40624999999994,101.609375,377.13020833332666
"1,000,000",100000,popularity,1,39.47404423356147,688.0678001355785,45.82954545454,406.40624999999994,101.609375,377.13020833332666
"100,000",100000,popularity,2,39.474404256602945,688.224416060637,46.20454545454,406.95312499999994,136.8125,407.9062499999933
"10,000",100000,popularity,11,39.47764446397622,689.6339593861641,49.57954545454,411.87499999999994,453.640625,684.8906249999934
"1,000",100000,popularity,101,39.51004653770893,703.7293926414334,83.32954545454001,461.09374999999994,3621.921875,3454.7343749999936
100,100000,popularity,1001,39.83406727503607,844.6837251941265,420.82954545454,953.28125,35304.734375,31153.171874999996
