dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,popularity,none,100,100,10,0.0001536381514257,0.314092000000528,0.0,0.0,0.0056818181818181,0.3163577000013902,0.0041118421052631,0.3099616000035894,0.0,0.0,0.0001536381514257,9.79366028708134e-05,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,,
ml100k,popularity,greedy_topk,100,100,10,0.0001583882412569,0.3002687999978661,0.08984375,0.3621523000037996,0.0056818181818181,0.3123465999960899,0.0041118421052631,0.3104619000005186,0.015625,0.3082120000035502,0.0900021382412569,0.0002541866028708,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.4432470984774702,
ml100k,popularity,mmr,100,100,10,0.0001605858170606,0.2993839999980991,0.08984375,0.3605927000025986,0.005787037037037,0.3167213999986416,0.0047348484848484,0.3103138000005856,0.1953125,0.3990957999994862,0.0900043358170606,0.0020583438552188,0.0464352840014147,0.9842733070373666,0.1,0.968,0.056338028169014,0.9812676056338028,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.4061998298205023,
ml100k,popularity,quota_mmr,100,100,10,0.0001854599406528,0.3008598000014899,0.09765625,0.4017672999980277,0.0065104166666666,0.3035126999966451,0.0044014084507042,0.3147854000053485,0.125,0.3754407000014907,0.0978417099406528,0.0013591182511737,0.0432927648472198,0.899888730705692,0.09,0.263,0.0593031875463306,0.9817108969607116,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.3449097682144781,
ml100k,popularity,qubo_feasible,100,100,10,0.0001790830945558,0.3085988000020734,0.09375,0.3816707000005408,0.0061274509803921,0.307970200003183,0.0046641791044776,0.3129555999985314,30.734375,30.756328799994662,0.0939290830945558,0.3074516663008487,0.0543265515085399,0.8233172157112135,0.1,0.1999999999999999,0.0911786508524833,0.9648732394366196,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.2936319114186282,
ml100k,popularity,qubo_tabu,100,100,10,0.0001596016343207,0.3066241999986232,0.08984375,0.3599136999982875,0.0058962264150943,0.3149064000026556,0.0042229729729729,0.3125989999971352,24.4375,24.44133370000054,0.0900033516343207,0.2444761919938806,0.042332783755386,0.8588549813539452,0.07,0.1999999999999999,0.0756115641215715,0.9767472201630838,0.35,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.3026369119124911,True
ml100k,itemknn,none,100,100,10,0.2109375,0.4209346999996342,0.0,0.0,0.0164473684210526,0.3138954000023659,0.0046641791044776,0.303047699999297,0.0,0.0,0.2109375,0.0002111154752553,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,,
ml100k,itemknn,greedy_topk,100,100,10,0.2109375,0.4211536000002525,0.09765625,0.3903758000014932,0.0148809523809523,0.3170486999952118,0.0048828125,0.3062961999967228,0.0183823529411764,0.3169207999962964,0.30859375,0.0003814611782212,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.4669672043744771,
ml100k,itemknn,mmr,100,100,10,0.203125,0.4041606000027968,0.09375,0.3731210000041756,0.015625,0.3152788999941549,0.0047348484848484,0.3068406999955186,0.1953125,0.3921055999962846,0.296875,0.0021567234848484,0.0674171005986698,0.971644065455054,0.15,1.0590000000000002,0.1171237954040029,0.9447739065974796,0.41,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.4171857124556213,
ml100k,itemknn,quota_mmr,100,100,10,0.21875,0.4361116000000038,0.09375,0.382217500002298,0.0164473684210526,0.3090564000012819,0.0046641791044776,0.3060028999971109,0.1354166666666666,0.4144679000019096,0.3125,0.0015652821419219,0.0536788150295097,0.8935459647824381,0.1,0.244,0.1156412157153447,0.9514885100074127,0.41,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.4,0.3745907127255556,
