retrain_every,n_requests,cheapest,training_events,cost.popularity,cost.popularity+quota_mmr,cost.itemknn,cost.itemknn+quota_mmr,cost.als,cost.als+quota_mmr
never,100000,popularity,1,10.968451618752594,277.0014273718606,18.60407686781,285.32303503787,21.58584770114,345.62495799731
"1,000,000",100000,popularity,1,10.968451618752594,277.0014273718606,18.60407686781,285.32303503787,21.58584770114,345.62495799731
"100,000",100000,popularity,2,10.968615060175189,277.0875321630811,18.79938936781,285.60819128787,27.36709770114,351.57417674731
"10,000",100000,popularity,11,10.970086032978536,277.86247528406614,20.55720186781,288.17459753787,79.39834770114,405.11714549731
"1,000",100000,popularity,101,10.984795761012005,285.61190649391625,38.13532686781,313.83866003787,599.71084770114,940.54683299731
100,100000,popularity,1001,11.131893041346695,363.10621859241724,213.91657686781,570.47928503787,5802.83584770114,6294.84370799731
