family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,quota_mmr,15,0.00328125,0.003396757392473118,0.9643717217035597,0.0476805422348714,0.256,0.105,False,1.0
itemknn,quota_mmr,15,0.00265625,0.002850378787878787,0.9318936877076414,0.05286461796735,0.2465,0.12,False,1.0
popularity,quota_mmr,15,0.00265625,0.0027691532258064516,0.9581913905233821,0.0551214313942276,0.2475,0.115,False,1.0
