family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,15,0.0527225807997784,0.105,1.1855000000000002,0.0001592762487257,0.0001082735961768,0.06714634709107344,0.6847125934406836,0.0001592762487257,0.0,0.011574074074074,0.0100806451612903,0.0
als,none,15,0.0525673064972207,0.115,0.8280000000000001,5.625,0.0001410590277777,0.12777777777777777,1.1420979020987467,5.625,0.0,0.01953125,0.009765625,0.0
itemknn,none,15,0.044833651844888,0.1,1.1535000000000002,0.1953125,0.0001838699494949,0.08,0.3421484473619489,0.1953125,0.0,0.02734375,0.009765625,0.0
popularity,quota_mmr,15,0.0530573908865986,0.105,0.2565,0.0860974283520982,0.0026139754641909,0.04547743848986383,6.392588481933875,0.0001599283520982,0.0859375,0.0120192307692307,0.009765625,0.5
itemknn,quota_mmr,15,0.0511394598647337,0.105,0.247,0.28125,0.0028433719758064,0.06944444444444445,6.238611134480703,0.1953125,0.08984375,0.0260416666666666,0.009765625,0.53125
als,quota_mmr,15,0.0453910212523724,0.095,0.2565,5.60546875,0.0031926660750507,0.1651567944250871,5.792121126772502,5.515625,0.08984375,0.0183823529411764,0.0100806451612903,0.609375
