family,reranker,cpu_rerank,cpu_serving_total,rerank_share_of_serving,cpu_rerank_setup,serving_multiplier
popularity,quota_mmr,0.5,0.5217848557692307,0.9582493521451195,0.0859375,23.95172413793108
itemknn,quota_mmr,0.53125,0.5670572916666666,0.936854190585534,0.08984375,15.836363636363652
als,quota_mmr,0.609375,0.6378379981024667,0.9553758192720683,0.08984375,22.409375000000097
