user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,intra_list_similarity
188,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,
191,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
193,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
196,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
198,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
202,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
203,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
205,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
208,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
210,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
214,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
215,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
216,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
217,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
218,0.3868528072345416,1.0,1.0,1.5,gift_cards,popularity,none,0,
219,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
222,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
223,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
224,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
226,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
233,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
234,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
237,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
238,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
241,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
242,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
244,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
245,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
249,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
250,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
251,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
254,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
258,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
260,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
262,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
263,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
266,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
274,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
280,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
281,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
285,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
287,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
293,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,
295,0.2890648263178879,1.0,1.0,1.5,gift_cards,popularity,none,0,
296,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
299,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
304,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
305,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
306,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
309,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
310,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
311,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
312,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
314,0.3010299956639812,1.0,1.0,1.5,gift_cards,popularity,none,0,
316,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
317,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
321,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
332,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
333,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
336,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
342,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
345,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
346,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,
347,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
348,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
349,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
350,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
358,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
359,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
360,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
361,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
364,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
368,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,
369,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
370,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
371,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
372,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
373,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
375,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
377,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
383,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
384,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
385,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
386,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
388,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
390,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
392,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
393,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
396,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
397,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
398,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
400,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
402,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
404,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
405,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
406,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
407,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
409,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
410,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
413,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
414,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
415,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
419,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
424,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
425,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
426,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
428,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
432,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
435,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
437,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
439,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
441,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
446,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
450,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
451,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
452,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,
453,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
455,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,
0,0.0,0.6306849609750939,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0090172562817666
1,0.0,0.6425151227644277,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
2,0.0,0.6236662749816666,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.00715460719209
4,0.0,0.659206527820654,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0069425850563263
6,0.0,0.6539269073642396,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
8,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
9,0.0,0.6208630463762604,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0063559843331637
10,0.0,0.6382745998330307,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065305056250979
17,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
19,0.0,0.6080733091905188,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0042358322322409
20,0.0,0.6434030793314728,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
21,0.0,0.587609867539059,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.005437286994969
23,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
24,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
25,0.0,0.6563472916936841,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
28,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
29,0.0,0.6212466989267965,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0074360683279695
33,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
34,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
36,0.0,0.6297089955535929,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0091976887248272
37,0.0,0.6587224340047072,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
41,0.0,0.6419614030698968,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
43,0.0,0.639555746969049,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0062433117097656
46,0.0,0.6435139852750983,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065305056250979
49,0.0,0.6285399663703124,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0083298708806211
50,0.0,0.6445770507583304,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0066846929373258
52,0.0,0.639587893092599,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
55,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
57,0.0,0.6381636141390624,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
66,0.0,0.6296408468824928,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0079884107783537
70,0.2890648263178879,0.6487674407262989,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
75,0.0,0.6449354672094731,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065305056250979
76,0.0,0.6297089955535929,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0091976887248272
77,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
78,0.0,0.6199244299337161,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
79,0.0,0.6285399663703124,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0083298708806211
80,0.0,0.6317162067051467,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0093597573667471
86,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
88,0.0,0.6384077076045485,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
92,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
97,0.0,0.6356540118600832,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0057497692880803
101,0.0,0.6324710031399936,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0073136091953874
109,0.0,0.6481720463842003,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
110,0.0,0.6321816227529956,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0095790714941044
113,0.0,0.6341142104424918,0.0,0.2,gift_cards,popularity,quota_mmr,0,0.0063596525443886
115,0.0,0.6297089955535929,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0089903777276234
116,0.6309297535714575,0.6369886742094135,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
118,0.0,0.6369886742094135,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
119,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
120,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
122,0.0,0.6445770507583304,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0066846929373258
123,0.0,0.6021006184096414,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0033680943594294
124,0.0,0.6414115445292553,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0067117884252084
125,0.0,0.6382745998330307,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065305056250979
132,0.0,0.642400518761687,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0080659051944438
133,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
135,0.0,0.6199244299337161,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
