stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,codecarbon.cpu_kwh,codecarbon.ram_kwh,codecarbon.gpu_kwh,codecarbon.total_kwh,codecarbon.cpu_watts,codecarbon.ram_watts,codecarbon.co2_kg,codecarbon.cpu_util_pct,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,itemknn,0.3062608999998701,0.3125,0.3125,0.0,1.0203718463575744,218374144,164,0.001905487804878,1.4064884049549742e-06,9.359761111111058e-06,0.0,1.0766249516066032e-05,1.5027841522499998,10.0,4.743695666774823e-06,0.0,gift_cards,2,composite,gift_cards,itemknn,quota_mmr,2
rerank_setup,itemknn,0.3084686000001966,0.3125,0.296875,0.015625,1.0130690773706006,218374144,607,0.0005148270181219,1.3244917921097662e-07,8.573027777780832e-07,0.0,9.8975195698906e-07,1.5136824255,10.0,4.360926302650354e-07,0.0,gift_cards,2,composite,gift_cards,itemknn,quota_mmr,2
retrieve_score,itemknn,0.3119604999992589,0.3125,0.3125,0.0,1.001729385613699,218374144,29,0.0107758620689655,1.3315162402357813e-07,8.670119444458481e-07,0.0,1.0001635684694269e-06,1.516853616,10.0,4.406800695761775e-07,0.0,gift_cards,2,composite,gift_cards,itemknn,quota_mmr,2
retrieve_select,itemknn,0.3095443000001978,0.3125,0.3125,0.0,1.009548552500564,218374144,133,0.0023496240601503,1.3213463948558e-07,8.603069444436393e-07,0.0,9.924415839292197e-07,1.5187563303,10.0,4.372777014118854e-07,0.0,gift_cards,2,composite,gift_cards,itemknn,quota_mmr,2
rerank,itemknn,0.354341199999908,0.359375,0.359375,0.0,1.014206081596194,218374144,1,0.359375,1.5187967529833733e-07,9.847572222219651e-07,0.0,1.1366368975203024e-06,1.52129005125,10.0,5.008113101426252e-07,0.0,gift_cards,2,composite,gift_cards,itemknn,quota_mmr,2
train,als,0.6330118000005314,0.625,0.625,0.0,0.9873433638985488,218374144,1,0.625,1.555056848256028e-06,1.0344442500000798e-05,0.0,1.1899499348256826e-05,1.5036708710625,10.0,5.243014608836743e-06,0.0,gift_cards,2,composite,gift_cards,als,none,2
retrieve_score,als,0.2590349000001879,0.375,0.34375,0.03125,1.447681374207599,218374144,23,0.0163043478260869,1.1673394187836582e-07,7.200094444442585e-07,0.0,8.367433863226243e-07,1.538989951875,10.0,3.6867582996083844e-07,0.0,gift_cards,2,composite,gift_cards,als,none,2
retrieve_select,als,0.2991885000001275,0.3125,0.3125,0.0,1.0444920175737598,218374144,118,0.0026483050847457,1.2805800807221932e-07,8.315372222215145e-07,0.0,9.595952302937332e-07,1.5368297710312502,10.0,4.228053352292613e-07,0.0,gift_cards,2,composite,gift_cards,als,none,2
train,als,0.6336688000001232,0.625,0.625,0.0,0.9863196673086612,218374144,1,0.625,1.5478815032523787e-06,1.028868944444336e-05,0.0,1.1836570947695738e-05,1.50309299175,10.0,5.215287852122324e-06,0.0,gift_cards,2,composite,gift_cards,als,quota_mmr,2
rerank_setup,als,0.2992548000001989,0.3125,0.3125,0.0,1.0442606100212672,218374144,603,0.0005182421227197,1.2813422796579298e-07,8.317202777789126e-07,0.0,9.598545057447058e-07,1.512178404,10.0,4.229195740671637e-07,0.0,gift_cards,2,composite,gift_cards,als,quota_mmr,2
retrieve_score,als,0.2225640999995448,0.3125,0.3125,0.0,1.404089877930174,218374144,20,0.015625,9.845537388407009e-08,6.187902777785182e-07,0.0,7.172456516625875e-07,1.5284905721250002,10.0,3.160241720877493e-07,0.0,gift_cards,2,composite,gift_cards,als,quota_mmr,2
retrieve_select,als,0.3049465999993117,0.3125,0.3125,0.0,1.0247695826112024,218374144,121,0.0025826446280991,1.3051256070565374e-07,8.475627777771579e-07,0.0,9.780753384828125e-07,1.5288623034000002,10.0,4.30947818738235e-07,0.0,gift_cards,2,composite,gift_cards,als,quota_mmr,2
rerank,als,0.4054869999999937,0.40625,0.40625,0.0,1.0018816879456216,218374144,1,0.40625,1.747898704048355e-07,1.1267994444450684e-06,0.0,1.3015893148499048e-06,1.5313459515000003,10.0,5.734906648373866e-07,0.0,gift_cards,2,composite,gift_cards,als,quota_mmr,2
train,popularity,0.3104131000000052,0.3125,0.3125,0.0,1.0067229765753918,218374144,2011,0.0001553953257086,1.408856210901515e-06,9.386903888887191e-06,0.0,1.0795760099788707e-05,1.5016266825,10.0,4.756698266047703e-06,0.0,ml100k,2,composite,ml100k,popularity,none,2
retrieve_score,popularity,0.3175160999999207,0.3125,0.28125,0.03125,0.9842020609351086,218374144,27,0.011574074074074,1.3630425508354238e-07,8.82445833334107e-07,0.0,1.0187500884176487e-06,1.5129107790000005,10.0,4.488694389575237e-07,0.0,ml100k,2,composite,ml100k,popularity,none,2
retrieve_select,popularity,0.3103273999995508,0.3125,0.296875,0.015625,1.007000993146117,218374144,32,0.009765625,1.3409806851031818e-07,8.625319444440219e-07,0.0,9.966300129543393e-07,1.5210737092500002,10.0,4.391231567477856e-07,0.0,ml100k,2,composite,ml100k,popularity,none,2
train,popularity,0.3030320999996547,0.3125,0.3125,0.0,1.0312438847249386,218374144,1986,0.0001573514602215,1.403464831738248e-06,9.35102888888903e-06,0.0,1.075449372062728e-05,1.50334598175,10.0,4.738515969258144e-06,0.0,ml100k,2,composite,ml100k,popularity,quota_mmr,2
rerank_setup,popularity,0.3484062000006815,0.34375,0.28125,0.0625,0.9866357142878844,218374144,4,0.0859375,1.5033021325303445e-07,9.682711111130025e-07,0.0,1.1186013243660367e-06,1.5168187185,10.0,4.928646923262705e-07,0.0,ml100k,2,composite,ml100k,popularity,quota_mmr,2
retrieve_score,popularity,0.3097211999993305,0.3125,0.3125,0.0,1.0089719399275072,218374144,26,0.0120192307692307,1.3434455186185e-07,8.60795555553926e-07,0.0,9.95140107415778e-07,1.525426942875,10.0,4.384666924482507e-07,0.0,ml100k,2,composite,ml100k,popularity,quota_mmr,2
retrieve_select,popularity,0.3063918999996531,0.3125,0.25,0.0625,1.019935579238073,218374144,31,0.0100806451612903,1.3290589525884305e-07,8.515377777788065e-07,0.0,9.844436730376495e-07,1.5305918775,10.0,4.337537578897724e-07,0.0,ml100k,2,composite,ml100k,popularity,quota_mmr,2
rerank,popularity,0.4960719000000608,0.5,0.5,0.0,1.0079184086015327,218374144,1,0.5,2.136327785336721e-07,1.3784477777764762e-06,0.0,1.5920805563101485e-06,1.53278726325,10.0,7.01483429754702e-07,0.0,ml100k,2,composite,ml100k,popularity,quota_mmr,2
train,itemknn,0.385380100000475,0.375,0.34375,0.03125,0.9730652931989424,218374144,2,0.1875,1.432703717012016e-06,9.530409999999594e-06,0.0,1.096311371701161e-05,1.5055132093125,10.0,4.830435608625052e-06,0.0,ml100k,2,composite,ml100k,itemknn,none,2
retrieve_score,itemknn,0.3341159999999945,0.328125,0.3125,0.015625,0.9820691017491092,218374144,12,0.02734375,1.5349670403402764e-07,9.286886111112836e-07,0.0,1.0821853151453117e-06,1.5515914728749998,10.0,4.768195073355453e-07,0.0,ml100k,2,composite,ml100k,itemknn,none,2
retrieve_select,itemknn,0.3060017999996489,0.3125,0.265625,0.046875,1.021235822796985,218374144,32,0.009765625,1.3394055745468766e-07,8.504613888893192e-07,0.0,9.844019463440075e-07,1.55498408503125,10.0,4.337353727747401e-07,0.0,ml100k,2,composite,ml100k,itemknn,none,2
train,itemknn,0.3847621000004437,0.390625,0.359375,0.03125,1.0152377274153288,218374144,2,0.1953125,1.441626075958885e-06,9.590230000000903e-06,0.0,1.1031856075959788e-05,1.5028198395000003,10.0,4.860724041916491e-06,0.0,ml100k,2,composite,ml100k,itemknn,quota_mmr,2
rerank_setup,itemknn,0.3680615999992369,0.375,0.328125,0.046875,1.0188511923025316,218374144,4,0.09375,1.746951249016061e-07,1.0228736111103998e-06,0.0,1.197568736012006e-06,1.5680574555000002,10.0,5.276583656367779e-07,0.0,ml100k,2,composite,ml100k,itemknn,quota_mmr,2
retrieve_score,itemknn,0.3223723999999492,0.328125,0.3125,0.015625,1.0178445797470617,218374144,11,0.0298295454545454,1.5301368843105144e-07,8.961236111114585e-07,0.0,1.04913729954251e-06,1.5994706527500002,10.0,4.622582872768263e-07,0.0,ml100k,2,composite,ml100k,itemknn,quota_mmr,2
retrieve_select,itemknn,0.3087485999994896,0.3125,0.21875,0.09375,1.012150338497135,218374144,32,0.009765625,1.3646101642847598e-07,8.582205555537967e-07,0.0,9.94681571982273e-07,1.5955868229,10.0,4.382646580679651e-07,0.0,ml100k,2,composite,ml100k,itemknn,quota_mmr,2
rerank,itemknn,0.5293885999999475,0.53125,0.484375,0.046875,1.0035161316281702,219115520,1,0.53125,2.2573924631701338e-07,1.470994444444942e-06,0.0,1.6967336907619555e-06,1.5844857360000002,10.0,7.475944380192435e-07,0.0,ml100k,2,composite,ml100k,itemknn,quota_mmr,2
train,als,4.711488799999643,5.828125,4.984375,0.84375,1.237002834433235,219127808,1,5.828125,3.249242113778854e-06,2.162953166666739e-05,0.0,2.4878773780446243e-05,1.50376964465625,10.0,1.0961786757854858e-05,0.0,ml100k,2,composite,ml100k,als,none,2
retrieve_score,als,0.2974019000002954,0.40625,0.28125,0.125,1.3659966530126286,219127808,23,0.0176630434782608,1.304411864152458e-07,8.266097222202821e-07,0.0,9.57050908635527e-07,1.5250140459375003,10.0,4.216842867520819e-07,0.0,ml100k,2,composite,ml100k,als,none,2
retrieve_select,als,0.3207733999997799,0.3125,0.28125,0.03125,0.9742079611346028,219127808,33,0.0094696969696969,1.3763913924112186e-07,8.915002777762827e-07,0.0,1.029139417017403e-06,1.5274388508281251,10.0,4.534470602532042e-07,0.0,ml100k,2,composite,ml100k,als,none,2
train,als,4.729946899999959,5.59375,5.09375,0.5,1.182624270052598,219127808,1,5.59375,3.2558862850611957e-06,2.1671118055554773e-05,0.0,2.4927004340615968e-05,1.5029455177500002,10.0,1.098303752851012e-05,0.0,ml100k,2,composite,ml100k,als,quota_mmr,2
rerank_setup,als,0.35302950000004785,0.34375,0.28125,0.0625,0.9737146612392262,219127808,4,0.0859375,1.5188027545674886e-07,9.811355555560408e-07,0.0,1.1330158310127914e-06,1.5148484745000002,10.0,4.992158392708843e-07,0.0,ml100k,2,composite,ml100k,als,quota_mmr,2
retrieve_score,als,0.19099999999980355,0.3125,0.3125,0.0,1.6361256544519447,219127808,15,0.020833333333333332,8.6414692967274e-08,5.310061111105009e-07,0.0,6.174208040777753e-07,1.5389544828750001,10.0,2.720405456430997e-07,0.0,ml100k,2,composite,ml100k,als,quota_mmr,2
retrieve_select,als,0.31491490000007616,0.3125,0.265625,0.046875,0.9923315791025589,219127808,32,0.009765625,1.383230029318487e-07,8.752269444433616e-07,0.0,1.0135499473752116e-06,1.5453872511,10.0,4.4657821521309777e-07,0.0,ml100k,2,composite,ml100k,als,quota_mmr,2
rerank,als,0.6336356000001615,0.640625,0.625,0.015625,1.0110306302231704,219127808,1,0.640625,2.7060919098378524e-07,1.7605483333328376e-06,0.0,2.031157524316624e-06,1.5432364432499999,10.0,8.949442544740991e-07,0.0,ml100k,2,composite,ml100k,als,quota_mmr,2
