workers,requested_seconds,wall_seconds,own_cpu_seconds,expected_core_seconds,codecarbon.cpu_kwh,codecarbon.ram_kwh,codecarbon.gpu_kwh,codecarbon.total_kwh,codecarbon.cpu_watts,codecarbon.ram_watts,codecarbon.co2_kg,codecarbon.cpu_util_pct
0,20.0,20.00843199999963,0.09375,0.0,9.614669056333357e-06,6.409187416666605e-05,0.0,7.370654322299941e-05,1.5000023478260869,10.0,3.247569259639932e-05,0.0
1,20.0,20.660136200000125,0.109375,20.0,8.61881959814104e-06,5.738979972222246e-05,0.0,6.60086193203635e-05,1.500552569431677,10.0,2.908392574150672e-05,0.0
2,20.0,20.702575600000273,0.078125,40.0,8.69727459529865e-06,5.750767805555673e-05,0.0,6.620495265085538e-05,1.503473488984472,10.0,2.9170431777588096e-05,0.0
4,20.0,20.853488800000378,0.125,80.0,9.225672612505298e-06,5.792685583333473e-05,0.0,6.715252844584002e-05,1.5212773685590062,10.0,2.9587941253464683e-05,0.0
8,20.0,21.355058999999528,0.09375,160.0,1.3967448572929537e-05,5.9320333055555026e-05,0.0,7.32877816284846e-05,1.660121072180124,10.0,3.229118288776333e-05,0.0
