workers,requested_seconds,wall_seconds,own_cpu_seconds,expected_core_seconds,codecarbon.cpu_kwh,codecarbon.ram_kwh,codecarbon.gpu_kwh,codecarbon.total_kwh,codecarbon.cpu_watts,codecarbon.ram_watts,codecarbon.co2_kg,codecarbon.cpu_util_pct
0,20.0,19.999951199999487,0.09375,0.0,8.618757421359222e-06,5.584328055555387e-05,0.0,6.44620379769131e-05,1.5216100544625,10.0,2.8402489628931726e-05,0.0
1,20.0,20.69632499999898,0.0625,20.0,8.63611627330819e-06,5.749026472222391e-05,0.0,6.612638099553209e-05,1.515087386475,10.0,2.91358124776794e-05,0.0
2,20.0,20.69653920000019,0.0625,40.0,8.698036210915075e-06,5.7490865833334385e-05,0.0,6.618890204424945e-05,1.5145141576955359,10.0,2.916335975191266e-05,0.0
4,20.0,20.888494300001184,0.140625,80.0,9.238121804804058e-06,5.802408555555301e-05,0.0,6.726220736035708e-05,1.5300041976278573,10.0,2.9636266660632214e-05,0.0
8,20.0,21.34521929999937,0.203125,160.0,1.3651002929758217e-05,5.9292794444445465e-05,0.0,7.294379737420368e-05,1.6586710007732144,10.0,3.213962067345314e-05,0.0
