stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
retrieve_score,als,0.3121896000011475,0.3125,0.25,0.0625,1.0009942675824286,333910016,48,0.0065104166666666,ml100k,2,,ml100k,als,balanced_quota,2
retrieve_select,als,0.3103962000022875,0.3125,0.234375,0.078125,1.0067777891536591,333910016,76,0.0041118421052631,ml100k,2,,ml100k,als,balanced_quota,2
rerank,als,0.3168684999982361,0.3125,0.3125,0.0,0.9862135239120948,333910016,3,0.1041666666666666,ml100k,2,,ml100k,als,balanced_quota,2
train,als,4.801976800001285,5.9375,5.328125,0.609375,1.2364699471264442,333910016,1,5.9375,ml100k,2,,ml100k,als,qubo_feasible,2
rerank_setup,als,0.3597398999991128,0.359375,0.28125,0.078125,0.9989856560278308,333910016,4,0.08984375,ml100k,2,,ml100k,als,qubo_feasible,2
retrieve_score,als,0.3136165000032633,0.3125,0.28125,0.03125,0.9964399194454,333910016,48,0.0065104166666666,ml100k,2,,ml100k,als,qubo_feasible,2
retrieve_select,als,0.3134286999993492,0.3125,0.265625,0.046875,0.9970369656660316,333910016,75,0.0041666666666666,ml100k,2,,ml100k,als,qubo_feasible,2
rerank,als,30.176137099995685,30.171875,30.125,0.046875,0.9998587592579672,333910016,1,30.171875,ml100k,2,,ml100k,als,qubo_feasible,2
train,als,4.822382099999231,5.8125,5.390625,0.421875,1.2053171813160402,333910016,1,5.8125,ml100k,2,null,ml100k,als,qubo_tabu,2
rerank_setup,als,0.35572709999541985,0.359375,0.296875,0.0625,1.0102547711563925,333910016,4,0.08984375,ml100k,2,null,ml100k,als,qubo_tabu,2
retrieve_score,als,0.2189407999976538,0.34375,0.296875,0.046875,1.5700591210212242,333910016,34,0.01011029411764706,ml100k,2,null,ml100k,als,qubo_tabu,2
retrieve_select,als,0.30922679999639513,0.3125,0.265625,0.046875,1.0105851110047481,333910016,73,0.004280821917808219,ml100k,2,null,ml100k,als,qubo_tabu,2
rerank,als,24.1948682000002,24.15625,24.15625,0.0,0.9984038681392693,333910016,1,24.15625,ml100k,2,null,ml100k,als,qubo_tabu,2
