dataset,family,reranker,repeat,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
digital_music,als,quota_mmr,1,200,200,10,39.15625,39.22463189999962,0.2109375,0.4134358999999676,0.11328125,0.1343737999995937,0.06875,0.3500390999997762,0.65625,0.6509302999993452,39.3671875,0.00419140625,0.0410412706875005,0.8456641010904817,0.055,0.2835,0.123269435569755,0.9079759495917644,0.31,1,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,0.0051128656360978
gift_cards,popularity,none,2,200,120,10,0.0001230799527372,0.3050872000003437,0.0,0.0,0.0120192307692307,0.3202135000001362,0.002561475409836,0.3048718999998527,0.0,0.0,0.0001230799527372,7.290353089533418e-05,0.0767168176337863,1.0,0.145,1.5,0.1224489795918367,0.9207414965986396,0.89,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,popularity,quota_mmr,2,200,120,10,9.541984732824427e-05,0.3026571000000331,0.0005580357142857,0.3130354000004445,0.0125,0.331728899999689,0.0027901785714285,0.3084238999999797,0.359375,0.3716445999998541,0.0006534555616139,0.0018733258928571,0.0586163516459067,0.6343716093712137,0.09,0.2999999999999999,0.3945578231292517,0.8905646258503401,0.89,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0081606508737808
gift_cards,itemknn,none,2,200,120,10,0.002422480620155,0.3091542000001936,0.0,0.0,0.0120192307692307,0.3140518999998676,0.0026939655172413,0.3118610999999873,0.0,0.0,0.002422480620155,7.356598143236075e-05,0.1828718450631722,1.0,0.38,1.3595,0.4693877551020408,0.8079455782312925,0.955,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,itemknn,quota_mmr,2,200,120,10,0.0022007042253521,0.3051758999999947,0.0005521201413427,0.3119204000004174,0.0111607142857142,0.3358984000005875,0.0026939655172413,0.3053071999993335,0.453125,0.4650775999998586,0.0027528243666948,0.0023348983990147,0.1094827004641504,0.7213779787348169,0.185,0.2649999999999999,0.9863945578231292,0.3870816326530612,0.955,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0107994910955232
gift_cards,als,none,2,200,120,10,0.75,0.7567779000000883,0.0,0.0,0.0135869565217391,0.3041024000003745,0.0028669724770642,0.3134620999999242,0.0,0.0,0.75,8.226964499401675e-05,0.0675971540343156,1.0,0.17,0.4785,0.9931972789115646,0.2315238095238095,0.865,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,als,quota_mmr,2,200,120,10,0.90625,0.8374039000000266,0.0006091617933723,0.3101432000003115,0.0135869565217391,0.3254188000000795,0.003063725490196,0.2999325000000681,0.515625,0.5209982999995191,0.9068591617933724,0.0026613784100596,0.0559763035912838,0.9764236600700656,0.13,0.2615,0.9863945578231292,0.2495374149659864,0.865,2,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0027508230621517
software,popularity,none,2,200,200,10,0.0001297218762972,0.3066311000002315,0.0,0.0,0.0135869565217391,0.3169526000001497,0.0078125,0.309403199999906,0.0,0.0,0.0001297218762972,0.0001069972826086,0.0019342640361727,1.0,0.005,1.0,0.0192572214580467,0.9853521320495184,0.31,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
software,popularity,quota_mmr,2,200,200,10,0.000121975019516,0.2979953000003661,0.0100806451612903,0.3188067999999475,0.0130208333333333,0.3064352999999755,0.0066489361702127,0.3147838000004412,0.546875,0.5574188999999024,0.0102026201808063,0.0028327238475177,0.0031546487678572,0.5871932384643931,0.005,0.0,0.0316368638239339,0.9841953232462172,0.31,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.0035116067989339
software,itemknn,none,2,200,200,10,0.0260416666666666,0.301123500000358,0.0,0.0,0.014266304347826,0.3308860999995886,0.0082236842105263,0.3095318999994561,0.0,0.0,0.0260416666666666,0.0001124499427917,0.0683983919550765,1.0,0.145,0.9945000000000002,0.5543328748280605,0.7579738651994498,0.535,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
